TR Period,TR Start Date,TR End Date,Country/Region,Account Requests Received,Accounts Specified in Requests,Requests Challenged in Part or Rejected in Full,Requests where Only Non-Content Data Provided,Requests where Content Provided,Percentage of Requests where Data Provided
2018 H1,1/1/18,6/30/18,Denmark,1,1,1,0,0,0%
2018 H1,1/1/18,6/30/18,Estonia,1,1,0,1,0,100%
2018 H1,1/1/18,6/30/18,Finland,2,3,0,2,0,100%
2018 H1,1/1/18,6/30/18,France,120,127,9,71,0,59%
2018 H1,1/1/18,6/30/18,Germany,292,393,25,203,2,70%
2018 H1,1/1/18,6/30/18,Greece,10,11,0,9,0,90%
2018 H1,1/1/18,6/30/18,Hong Kong,5,6,0,5,0,100%
2018 H1,1/1/18,6/30/18,Hungary,4,4,0,2,0,50%
2018 H1,1/1/18,6/30/18,India,18,971,3,14,0,78%
2018 H1,1/1/18,6/30/18,Ireland,5,8,1,2,1,60%
2018 H1,1/1/18,6/30/18,Italy,76,85,12,38,0,50%
2018 H1,1/1/18,6/30/18,Japan,166,320,17,130,0,78%
2018 H1,1/1/18,6/30/18,Mexico,2,2,0,2,0,100%
2018 H1,1/1/18,6/30/18,Mozambique,1,4,0,1,0,100%
2018 H1,1/1/18,6/30/18,Netherlands,10,16,0,9,0,90%
2018 H1,1/1/18,6/30/18,New Zealand,2,5,0,0,0,0%
2018 H1,1/1/18,6/30/18,Norway,6,6,1,3,0,50%
2018 H1,1/1/18,6/30/18,Paraguay,1,1,0,1,0,100%
2018 H1,1/1/18,6/30/18,Poland,8,15,0,6,1,88%
2018 H1,1/1/18,6/30/18,Portugal,2,2,2,0,0,0%
2018 H1,1/1/18,6/30/18,Russia,3,3,1,1,0,33%
2018 H1,1/1/18,6/30/18,Singapore,46,53,2,36,0,78%
2018 H1,1/1/18,6/30/18,South Africa,1,1,0,0,0,0%
2018 H1,1/1/18,6/30/18,South Korea,10,16,0,9,0,90%
2018 H1,1/1/18,6/30/18,Spain,43,58,10,21,0,49%
2018 H1,1/1/18,6/30/18,Sweden,7,9,2,5,0,71%
2018 H1,1/1/18,6/30/18,Switzerland,12,20,1,10,0,83%
2018 H1,1/1/18,6/30/18,Taiwan,241,554,1,200,0,83%
2018 H1,1/1/18,6/30/18,Türkiye,21,24,3,14,0,67%
2018 H1,1/1/18,6/30/18,Ukraine,2,2,0,0,0,0%
2018 H1,1/1/18,6/30/18,United Arab Emirates,1,1,1,0,0,0%
2018 H1,1/1/18,6/30/18,United Kingdom,263,300,28,206,0,78%
2018 H1,1/1/18,6/30/18,United States of America,2397,16416,158,1239,849,87%
2018 H2,7/1/18,12/31/18,Andorra,1,1,1,0,0,0%
2018 H2,7/1/18,12/31/18,Argentina,1,1,0,1,0,100%
2018 H2,7/1/18,12/31/18,Australia,114,154,40,66,0,58%
2018 H2,7/1/18,12/31/18,Austria,6,11,3,3,0,50%
2018 H2,7/1/18,12/31/18,Belgium,9,14,0,9,0,100%
2018 H2,7/1/18,12/31/18,Brazil,294,2529,10,36,213,85%
2018 H2,7/1/18,12/31/18,Canada,7,19,1,6,0,86%
2018 H2,7/1/18,12/31/18,Chile,1,1,1,0,0,0%
2018 H2,7/1/18,12/31/18,China mainland,42,7154,0,38,3,98%
2018 H2,7/1/18,12/31/18,Colombia,1,1,1,0,0,0%
2018 H2,7/1/18,12/31/18,Czech Republic,8,11,2,6,0,75%
2018 H2,7/1/18,12/31/18,Denmark,1,1,1,0,0,0%
2018 H2,7/1/18,12/31/18,Dominican Republic,1,2,1,0,0,0%
2018 H2,7/1/18,12/31/18,Estonia,1,1,0,1,0,100%
2018 H2,7/1/18,12/31/18,Finland,2,2,0,2,0,100%
2018 H2,7/1/18,12/31/18,France,154,177,12,98,1,64%
2018 H2,7/1/18,12/31/18,Germany,335,417,28,241,2,73%
2018 H2,7/1/18,12/31/18,Greece,4,5,1,2,0,50%
2018 H2,7/1/18,12/31/18,Hong Kong,8,8,3,3,0,38%
2018 H2,7/1/18,12/31/18,Hungary,2,2,0,2,0,100%
2018 H2,7/1/18,12/31/18,India,18,18,5,11,0,61%
2018 H2,7/1/18,12/31/18,Ireland,5,30,0,3,0,60%
2018 H2,7/1/18,12/31/18,Italy,48,60,31,18,0,38%
2018 H2,7/1/18,12/31/18,Japan,249,351,42,188,0,76%
2018 H2,7/1/18,12/31/18,Malta,2,2,0,1,0,50%
2018 H2,7/1/18,12/31/18,Netherlands,14,17,2,11,0,79%
2018 H2,7/1/18,12/31/18,New Zealand,15,27,2,13,0,87%
2018 H2,7/1/18,12/31/18,Norway,3,3,3,0,0,0%
2018 H2,7/1/18,12/31/18,Paraguay,1,1,0,0,0,0%
2018 H2,7/1/18,12/31/18,Poland,12,15,5,4,0,33%
2018 H2,7/1/18,12/31/18,Portugal,4,4,3,1,0,25%
2018 H2,7/1/18,12/31/18,Russia,13,21,6,5,0,38%
2018 H2,7/1/18,12/31/18,Singapore,34,43,1,26,0,76%
2018 H2,7/1/18,12/31/18,South Korea,13,13,5,8,0,62%
2018 H2,7/1/18,12/31/18,Spain,48,88,15,24,0,50%
2018 H2,7/1/18,12/31/18,Sweden,33,47,0,27,1,85%
2018 H2,7/1/18,12/31/18,Switzerland,19,24,2,12,1,68%
2018 H2,7/1/18,12/31/18,Taiwan,370,883,1,328,0,89%
2018 H2,7/1/18,12/31/18,Türkiye,20,26,2,15,0,75%
2018 H2,7/1/18,12/31/18,United Kingdom,293,395,31,234,1,80%
2018 H2,7/1/18,12/31/18,United States of America,2669,9924,102,1339,1005,88%
2019 H1,1/1/19,6/30/19,Andorra,1,1,0,1,0,100%
2019 H1,1/1/19,6/30/19,Argentina,1,1,0,1,0,100%
2019 H1,1/1/19,6/30/19,Australia,113,177,22,82,1,73%
2019 H1,1/1/19,6/30/19,Austria,12,17,3,7,0,58%
2019 H1,1/1/19,6/30/19,Belgium,12,15,1,9,0,75%
2019 H1,1/1/19,6/30/19,Brazil,448,2745,9,42,351,88%
2019 H1,1/1/19,6/30/19,Canada,17,69,2,16,0,94%
2019 H1,1/1/19,6/30/19,Chile,7,8,1,5,0,71%
2019 H1,1/1/19,6/30/19,China mainland,25,15666,0,23,1,96%
2019 H1,1/1/19,6/30/19,Costa Rica,6,6,2,5,0,83%
2019 H1,1/1/19,6/30/19,Czech Republic,9,10,1,5,0,56%
2019 H1,1/1/19,6/30/19,Denmark,5,6,4,0,0,0%
2019 H1,1/1/19,6/30/19,Estonia,2,6,0,2,0,100%
2019 H1,1/1/19,6/30/19,Finland,10,17,0,9,0,90%
2019 H1,1/1/19,6/30/19,France,238,251,30,165,0,69%
2019 H1,1/1/19,6/30/19,Germany,459,603,35,344,0,75%
2019 H1,1/1/19,6/30/19,Greece,3,3,1,2,0,67%
2019 H1,1/1/19,6/30/19,Hong Kong,2,2,0,2,0,100%
2019 H1,1/1/19,6/30/19,Hungary,5,5,0,3,0,60%
2019 H1,1/1/19,6/30/19,India,20,31,6,14,0,70%
2019 H1,1/1/19,6/30/19,Iran,1,1,1,0,0,0%
2019 H1,1/1/19,6/30/19,Ireland,5,7,1,4,0,80%
2019 H1,1/1/19,6/30/19,Israel,1,2,0,1,0,100%
2019 H1,1/1/19,6/30/19,Italy,44,47,23,18,1,43%
2019 H1,1/1/19,6/30/19,Japan,307,529,41,244,0,79%
2019 H1,1/1/19,6/30/19,Macau,1,1,0,1,0,100%
2019 H1,1/1/19,6/30/19,Malta,1,1,0,1,0,100%
2019 H1,1/1/19,6/30/19,Mexico,7,7,5,2,0,29%
2019 H1,1/1/19,6/30/19,Netherlands,57,88,22,26,2,49%
2019 H1,1/1/19,6/30/19,New Zealand,10,28,1,5,0,50%
2019 H1,1/1/19,6/30/19,Norway,4,4,3,1,0,25%
2019 H1,1/1/19,6/30/19,Poland,10,10,2,8,0,80%
2019 H1,1/1/19,6/30/19,Portugal,4,4,2,2,0,50%
2019 H1,1/1/19,6/30/19,Qatar,2,2,2,0,0,0%
2019 H1,1/1/19,6/30/19,Romania,1,1,0,1,0,100%
2019 H1,1/1/19,6/30/19,Russia,23,101,13,10,0,43%
2019 H1,1/1/19,6/30/19,Singapore,40,48,1,29,0,73%
2019 H1,1/1/19,6/30/19,Slovenia,2,2,0,2,0,100%
2019 H1,1/1/19,6/30/19,South Korea,22,31,6,10,0,45%
2019 H1,1/1/19,6/30/19,Spain,69,99,19,40,0,58%
2019 H1,1/1/19,6/30/19,Sweden,25,33,1,21,1,88%
2019 H1,1/1/19,6/30/19,Switzerland,40,63,10,24,0,60%
2019 H1,1/1/19,6/30/19,Taiwan,395,1056,10,353,0,89%
2019 H1,1/1/19,6/30/19,Thailand,1,1,0,1,0,100%
2019 H1,1/1/19,6/30/19,Türkiye,28,33,9,13,0,46%
2019 H1,1/1/19,6/30/19,Ukraine,1,9,1,0,0,0%
2019 H1,1/1/19,6/30/19,United Arab Emirates,1,1,1,0,0,0%
2019 H1,1/1/19,6/30/19,United Kingdom,364,456,15,306,2,85%
2019 H1,1/1/19,6/30/19,United States of America,3619,15301,119,1691,1568,90%
2019 H2,7/1/19,12/31/19,Andorra,2,3,0,2,0,100%
2019 H2,7/1/19,12/31/19,Argentina,2,2,1,0,0,0%
2019 H2,7/1/19,12/31/19,Australia,142,181,14,106,1,75%
2019 H2,7/1/19,12/31/19,Austria,13,19,5,2,1,23%
2019 H2,7/1/19,12/31/19,Belgium,13,35,0,12,0,92%
2019 H2,7/1/19,12/31/19,Brazil,734,4853,12,70,547,84%
2019 H2,7/1/19,12/31/19,Canada,22,33,0,20,0,91%
2019 H2,7/1/19,12/31/19,Chile,4,6,1,1,0,25%
2019 H2,7/1/19,12/31/19,China mainland,45,2085,0,39,2,91%
2019 H2,7/1/19,12/31/19,Colombia,2,3,1,1,0,50%
2019 H2,7/1/19,12/31/19,Costa Rica,1,1,0,1,0,100%
2019 H2,7/1/19,12/31/19,Czech Republic,12,17,1,9,0,75%
2019 H2,7/1/19,12/31/19,Denmark,4,9,2,1,1,50%
2019 H2,7/1/19,12/31/19,Ecuador,1,1,0,1,0,100%
2019 H2,7/1/19,12/31/19,Finland,4,10,3,1,0,25%
2019 H2,7/1/19,12/31/19,France,250,356,38,145,1,58%
2019 H2,7/1/19,12/31/19,Germany,480,696,38,366,0,76%
2019 H2,7/1/19,12/31/19,Greece,5,5,0,4,0,80%
2019 H2,7/1/19,12/31/19,Hong Kong,8,12,1,3,0,38%
2019 H2,7/1/19,12/31/19,Hungary,5,17,0,5,0,100%
2019 H2,7/1/19,12/31/19,India,12,15,6,6,0,50%
2019 H2,7/1/19,12/31/19,Ireland,10,25,2,7,1,80%
2019 H2,7/1/19,12/31/19,Italy,42,44,24,13,0,31%
2019 H2,7/1/19,12/31/19,Japan,309,475,27,263,0,85%
2019 H2,7/1/19,12/31/19,Kuwait,1,1,1,0,0,0%
2019 H2,7/1/19,12/31/19,Latvia,1,1,1,0,0,0%
2019 H2,7/1/19,12/31/19,Malta,1,1,0,1,0,100%
2019 H2,7/1/19,12/31/19,Mexico,1,3,0,1,0,100%
2019 H2,7/1/19,12/31/19,Moldova,2,2,1,1,0,50%
2019 H2,7/1/19,12/31/19,Monaco,1,1,1,0,0,0%
2019 H2,7/1/19,12/31/19,Netherlands,69,204,5,36,1,54%
2019 H2,7/1/19,12/31/19,New Zealand,8,13,2,3,0,38%
2019 H2,7/1/19,12/31/19,North Macedonia,1,1,1,0,0,0%
2019 H2,7/1/19,12/31/19,Norway,5,5,1,3,0,60%
2019 H2,7/1/19,12/31/19,Poland,19,26,4,14,0,74%
2019 H2,7/1/19,12/31/19,Portugal,11,11,5,6,0,55%
2019 H2,7/1/19,12/31/19,Qatar,1,3,1,0,0,0%
2019 H2,7/1/19,12/31/19,Romania,5,8,3,3,0,60%
2019 H2,7/1/19,12/31/19,Russia,14,18,5,6,0,43%
2019 H2,7/1/19,12/31/19,Singapore,45,47,1,38,0,84%
2019 H2,7/1/19,12/31/19,South Africa,1,1,0,1,0,100%
2019 H2,7/1/19,12/31/19,South Korea,25,32,12,11,0,44%
2019 H2,7/1/19,12/31/19,Spain,56,73,11,39,0,70%
2019 H2,7/1/19,12/31/19,Sweden,31,45,0,28,0,90%
2019 H2,7/1/19,12/31/19,Switzerland,27,44,3,16,0,59%
2019 H2,7/1/19,12/31/19,Taiwan,492,966,2,421,0,86%
2019 H2,7/1/19,12/31/19,Türkiye,18,22,4,10,0,56%
2019 H2,7/1/19,12/31/19,Ukraine,2,4,1,0,1,50%
2019 H2,7/1/19,12/31/19,United Kingdom,426,505,34,344,2,81%
2019 H2,7/1/19,12/31/19,United States of America,4095,31780,98,1921,1724,89%
2020 H1,1/1/20,6/30/20,Andorra,1,1,0,1,0,100%
2020 H1,1/1/20,6/30/20,Australia,177,237,31,123,0,69%
2020 H1,1/1/20,6/30/20,Austria,9,16,8,2,0,22%
2020 H1,1/1/20,6/30/20,Belgium,17,20,0,14,0,82%
2020 H1,1/1/20,6/30/20,Brazil,1090,8088,27,151,801,87%
2020 H1,1/1/20,6/30/20,Canada,17,28,3,16,0,94%
2020 H1,1/1/20,6/30/20,Chile,11,13,5,6,0,55%
2020 H1,1/1/20,6/30/20,China mainland,73,145,2,59,3,85%
2020 H1,1/1/20,6/30/20,Costa Rica,1,1,0,1,0,100%
2020 H1,1/1/20,6/30/20,Czech Republic,8,10,1,7,0,88%
2020 H1,1/1/20,6/30/20,Denmark,1,1,1,1,0,100%
2020 H1,1/1/20,6/30/20,Estonia,3,5,0,3,0,100%
2020 H1,1/1/20,6/30/20,Finland,3,5,0,3,0,100%
2020 H1,1/1/20,6/30/20,France,230,313,42,160,1,70%
2020 H1,1/1/20,6/30/20,Germany,547,800,38,420,0,77%
2020 H1,1/1/20,6/30/20,Greece,2,2,0,2,0,100%
2020 H1,1/1/20,6/30/20,Hong Kong,8,13,4,4,0,50%
2020 H1,1/1/20,6/30/20,Hungary,5,10,2,2,0,40%
2020 H1,1/1/20,6/30/20,India,34,51,9,19,0,56%
2020 H1,1/1/20,6/30/20,Ireland,8,9,5,2,0,25%
2020 H1,1/1/20,6/30/20,Israel,5,5,1,3,0,60%
2020 H1,1/1/20,6/30/20,Italy,43,68,27,12,0,28%
2020 H1,1/1/20,6/30/20,Japan,487,723,41,397,0,82%
2020 H1,1/1/20,6/30/20,Liechtenstein,1,1,0,1,0,100%
2020 H1,1/1/20,6/30/20,Lithuania,1,1,0,1,0,100%
2020 H1,1/1/20,6/30/20,Luxembourg,2,4,1,1,0,50%
2020 H1,1/1/20,6/30/20,Malta,5,9,3,2,0,40%
2020 H1,1/1/20,6/30/20,Mexico,3,3,3,1,0,33%
2020 H1,1/1/20,6/30/20,Monaco,1,2,1,0,0,0%
2020 H1,1/1/20,6/30/20,Netherlands,44,147,8,25,0,57%
2020 H1,1/1/20,6/30/20,New Zealand,10,29,4,6,0,60%
2020 H1,1/1/20,6/30/20,North Macedonia,1,2,0,1,0,100%
2020 H1,1/1/20,6/30/20,Norway,4,4,0,3,0,75%
2020 H1,1/1/20,6/30/20,Poland,13,31,4,8,0,62%
2020 H1,1/1/20,6/30/20,Portugal,2,2,0,1,0,50%
2020 H1,1/1/20,6/30/20,Romania,1,1,0,1,0,100%
2020 H1,1/1/20,6/30/20,Russia,33,66,12,19,0,58%
2020 H1,1/1/20,6/30/20,Singapore,29,35,5,19,0,66%
2020 H1,1/1/20,6/30/20,South Korea,28,31,5,22,0,79%
2020 H1,1/1/20,6/30/20,Spain,52,120,8,32,0,62%
2020 H1,1/1/20,6/30/20,Sweden,77,116,2,66,1,87%
2020 H1,1/1/20,6/30/20,Switzerland,22,29,1,18,1,86%
2020 H1,1/1/20,6/30/20,Taiwan,382,805,33,323,0,85%
2020 H1,1/1/20,6/30/20,Thailand,2,2,0,0,0,0%
2020 H1,1/1/20,6/30/20,Türkiye,7,7,1,6,0,86%
2020 H1,1/1/20,6/30/20,United Kingdom,511,580,17,449,1,88%
2020 H1,1/1/20,6/30/20,United States of America,5861,18609,238,2532,2590,87%
2020 H2,7/1/20,12/31/20,Andorra,3,3,0,2,0,67%
2020 H2,7/1/20,12/31/20,Argentina,6,6,5,1,0,17%
2020 H2,7/1/20,12/31/20,Australia,180,234,40,119,0,66%
2020 H2,7/1/20,12/31/20,Austria,11,19,11,1,0,9%
2020 H2,7/1/20,12/31/20,Belgium,19,25,1,18,0,95%
2020 H2,7/1/20,12/31/20,Brazil,1453,9159,41,181,1050,85%
2020 H2,7/1/20,12/31/20,Canada,16,47,0,15,0,94%
2020 H2,7/1/20,12/31/20,Chile,15,17,3,4,0,27%
2020 H2,7/1/20,12/31/20,China mainland,35,90,1,24,3,77%
2020 H2,7/1/20,12/31/20,Colombia,1,1,1,0,0,0%
2020 H2,7/1/20,12/31/20,Croatia,1,1,1,0,0,0%
2020 H2,7/1/20,12/31/20,Czech Republic,11,14,1,9,0,82%
2020 H2,7/1/20,12/31/20,Denmark,5,5,0,4,1,100%
2020 H2,7/1/20,12/31/20,Finland,8,15,0,6,0,75%
2020 H2,7/1/20,12/31/20,France,281,405,52,178,0,63%
2020 H2,7/1/20,12/31/20,Germany,634,910,86,449,0,71%
2020 H2,7/1/20,12/31/20,Greece,4,4,0,4,0,100%
2020 H2,7/1/20,12/31/20,Hong Kong,8,12,4,4,0,50%
2020 H2,7/1/20,12/31/20,Hungary,7,7,6,1,0,14%
2020 H2,7/1/20,12/31/20,India,25,32,11,12,0,48%
2020 H2,7/1/20,12/31/20,Ireland,13,18,3,7,0,54%
2020 H2,7/1/20,12/31/20,Israel,4,5,3,0,0,0%
2020 H2,7/1/20,12/31/20,Italy,81,142,43,23,1,30%
2020 H2,7/1/20,12/31/20,Japan,468,698,20,399,0,85%
2020 H2,7/1/20,12/31/20,Lithuania,2,3,0,1,0,50%
2020 H2,7/1/20,12/31/20,Luxembourg,7,17,0,6,1,100%
2020 H2,7/1/20,12/31/20,Macau,1,1,0,1,0,100%
2020 H2,7/1/20,12/31/20,Malta,4,5,3,1,0,25%
2020 H2,7/1/20,12/31/20,Mexico,6,10,6,1,0,17%
2020 H2,7/1/20,12/31/20,Monaco,1,1,1,0,0,0%
2020 H2,7/1/20,12/31/20,Netherlands,58,167,3,35,0,60%
2020 H2,7/1/20,12/31/20,New Zealand,9,21,3,3,0,33%
2020 H2,7/1/20,12/31/20,Norway,1,1,1,0,0,0%
2020 H2,7/1/20,12/31/20,Panama,1,1,1,0,0,0%
2020 H2,7/1/20,12/31/20,Paraguay,1,1,1,0,0,0%
2020 H2,7/1/20,12/31/20,Poland,17,19,6,11,1,71%
2020 H2,7/1/20,12/31/20,Portugal,5,5,4,0,0,0%
2020 H2,7/1/20,12/31/20,Qatar,1,1,1,0,0,0%
2020 H2,7/1/20,12/31/20,Romania,5,6,1,4,0,80%
2020 H2,7/1/20,12/31/20,Russia,22,72,11,9,0,41%
2020 H2,7/1/20,12/31/20,Singapore,107,129,11,87,0,81%
2020 H2,7/1/20,12/31/20,Slovakia,2,2,1,0,0,0%
2020 H2,7/1/20,12/31/20,Slovenia,1,1,0,0,0,0%
2020 H2,7/1/20,12/31/20,South Korea,36,65,0,24,0,67%
2020 H2,7/1/20,12/31/20,Spain,74,103,15,37,1,51%
2020 H2,7/1/20,12/31/20,Sweden,75,109,1,67,0,89%
2020 H2,7/1/20,12/31/20,Switzerland,40,64,2,29,0,73%
2020 H2,7/1/20,12/31/20,Taiwan,317,614,18,267,0,84%
2020 H2,7/1/20,12/31/20,Thailand,2,2,1,0,0,0%
2020 H2,7/1/20,12/31/20,Türkiye,16,20,1,11,0,69%
2020 H2,7/1/20,12/31/20,United Arab Emirates,2,2,0,1,0,50%
2020 H2,7/1/20,12/31/20,United Kingdom,660,759,22,553,1,84%
2020 H2,7/1/20,12/31/20,United States of America,5995,37402,203,2801,2486,88%
2021 H1,1/1/21,6/30/21,Argentina,7,11,4,2,0,29%
2021 H1,1/1/21,6/30/21,Australia,155,206,16,112,0,72%
2021 H1,1/1/21,6/30/21,Austria,16,28,13,1,1,13%
2021 H1,1/1/21,6/30/21,Belgium,22,35,1,17,0,77%
2021 H1,1/1/21,6/30/21,Brazil,1558,8956,20,263,1087,87%
2021 H1,1/1/21,6/30/21,Canada,37,129,2,35,0,95%
2021 H1,1/1/21,6/30/21,Chile,14,16,4,4,1,36%
2021 H1,1/1/21,6/30/21,China mainland,52,103,5,31,4,67%
2021 H1,1/1/21,6/30/21,Colombia,3,3,1,0,0,0%
2021 H1,1/1/21,6/30/21,Costa Rica,2,2,0,2,0,100%
2021 H1,1/1/21,6/30/21,Croatia,2,2,0,1,1,100%
2021 H1,1/1/21,6/30/21,Czech Republic,17,27,0,14,0,82%
2021 H1,1/1/21,6/30/21,Denmark,1,1,0,1,0,100%
2021 H1,1/1/21,6/30/21,Estonia,7,11,0,6,0,86%
2021 H1,1/1/21,6/30/21,Finland,9,12,0,8,0,89%
2021 H1,1/1/21,6/30/21,France,277,365,45,175,0,63%
2021 H1,1/1/21,6/30/21,Germany,833,1044,87,618,1,74%
2021 H1,1/1/21,6/30/21,Greece,7,15,0,6,0,86%
2021 H1,1/1/21,6/30/21,Guatemala,1,3,1,0,0,0%
2021 H1,1/1/21,6/30/21,Hong Kong,20,72,1,17,0,85%
2021 H1,1/1/21,6/30/21,Hungary,1,1,0,0,0,0%
2021 H1,1/1/21,6/30/21,India,49,106,43,2,0,4%
2021 H1,1/1/21,6/30/21,Ireland,28,42,8,17,0,61%
2021 H1,1/1/21,6/30/21,Israel,4,12,1,3,0,75%
2021 H1,1/1/21,6/30/21,Italy,113,121,46,23,0,20%
2021 H1,1/1/21,6/30/21,Japan,582,849,37,473,1,81%
2021 H1,1/1/21,6/30/21,Kosovo,1,1,0,1,0,100%
2021 H1,1/1/21,6/30/21,Lithuania,1,1,0,1,0,100%
2021 H1,1/1/21,6/30/21,Luxembourg,5,6,1,4,0,80%
2021 H1,1/1/21,6/30/21,Macau,2,26,0,2,0,100%
2021 H1,1/1/21,6/30/21,Malta,5,5,5,0,0,0%
2021 H1,1/1/21,6/30/21,Mexico,4,5,3,1,0,25%
2021 H1,1/1/21,6/30/21,Netherlands,41,61,1,31,0,76%
2021 H1,1/1/21,6/30/21,New Zealand,12,26,4,5,2,58%
2021 H1,1/1/21,6/30/21,Norway,2,2,0,2,0,100%
2021 H1,1/1/21,6/30/21,Poland,24,31,15,5,1,25%
2021 H1,1/1/21,6/30/21,Portugal,11,12,5,4,0,36%
2021 H1,1/1/21,6/30/21,Romania,2,2,0,0,0,0%
2021 H1,1/1/21,6/30/21,Russia,27,72,9,16,0,59%
2021 H1,1/1/21,6/30/21,Serbia,1,9,1,0,0,0%
2021 H1,1/1/21,6/30/21,Singapore,61,68,5,53,0,87%
2021 H1,1/1/21,6/30/21,Slovenia,2,2,1,1,0,50%
2021 H1,1/1/21,6/30/21,South Korea,125,185,2,83,0,66%
2021 H1,1/1/21,6/30/21,Spain,93,227,27,41,0,44%
2021 H1,1/1/21,6/30/21,Sweden,64,93,1,61,0,95%
2021 H1,1/1/21,6/30/21,Switzerland,43,49,6,25,2,63%
2021 H1,1/1/21,6/30/21,Taiwan,268,604,7,242,0,90%
2021 H1,1/1/21,6/30/21,Thailand,2,2,2,0,0,0%
2021 H1,1/1/21,6/30/21,Türkiye,28,33,0,17,0,61%
2021 H1,1/1/21,6/30/21,United Kingdom,826,989,20,708,1,86%
2021 H1,1/1/21,6/30/21,United States of America,7122,22427,261,3527,2878,90%
2021 H2,7/1/21,12/31/21,Argentina,6,10,5,1,0,17%
2021 H2,7/1/21,12/31/21,Armenia,1,2,0,1,0,100%
2021 H2,7/1/21,12/31/21,Australia,169,225,21,124,1,74%
2021 H2,7/1/21,12/31/21,Austria,14,15,10,4,0,29%
2021 H2,7/1/21,12/31/21,Belgium,11,11,0,8,0,73%
2021 H2,7/1/21,12/31/21,Brazil,1960,10506,9,286,1342,83%
2021 H2,7/1/21,12/31/21,Bulgaria,1,1,1,0,0,0%
2021 H2,7/1/21,12/31/21,Canada,26,36,3,23,0,88%
2021 H2,7/1/21,12/31/21,Chile,14,15,3,5,0,36%
2021 H2,7/1/21,12/31/21,China mainland,70,206,4,53,5,83%
2021 H2,7/1/21,12/31/21,Colombia,1,3,1,0,0,0%
2021 H2,7/1/21,12/31/21,Costa Rica,3,5,1,3,0,100%
2021 H2,7/1/21,12/31/21,Czech Republic,14,20,1,9,0,64%
2021 H2,7/1/21,12/31/21,Denmark,4,6,1,2,1,75%
2021 H2,7/1/21,12/31/21,Ecuador,1,1,0,1,0,100%
2021 H2,7/1/21,12/31/21,Estonia,1,1,1,0,0,0%
2021 H2,7/1/21,12/31/21,Finland,4,6,1,2,0,50%
2021 H2,7/1/21,12/31/21,France,344,434,44,234,0,68%
2021 H2,7/1/21,12/31/21,Germany,899,1120,92,708,0,79%
2021 H2,7/1/21,12/31/21,Greece,5,5,2,3,0,60%
2021 H2,7/1/21,12/31/21,Guatemala,1,1,0,1,0,100%
2021 H2,7/1/21,12/31/21,Hong Kong,14,23,2,12,0,86%
2021 H2,7/1/21,12/31/21,Hungary,3,4,1,2,0,67%
2021 H2,7/1/21,12/31/21,India,54,76,33,17,0,31%
2021 H2,7/1/21,12/31/21,Ireland,27,42,14,10,0,37%
2021 H2,7/1/21,12/31/21,Israel,10,30,3,6,0,60%
2021 H2,7/1/21,12/31/21,Italy,54,61,24,21,0,39%
2021 H2,7/1/21,12/31/21,Japan,416,700,22,342,0,82%
2021 H2,7/1/21,12/31/21,Latvia,1,1,0,1,0,100%
2021 H2,7/1/21,12/31/21,Luxembourg,3,3,0,3,0,100%
2021 H2,7/1/21,12/31/21,Malta,1,1,0,1,0,100%
2021 H2,7/1/21,12/31/21,Mexico,6,8,3,1,0,17%
2021 H2,7/1/21,12/31/21,Moldova,1,1,1,0,0,0%
2021 H2,7/1/21,12/31/21,Netherlands,49,130,3,36,0,73%
2021 H2,7/1/21,12/31/21,New Zealand,7,9,0,6,0,86%
2021 H2,7/1/21,12/31/21,Norway,7,8,6,1,0,14%
2021 H2,7/1/21,12/31/21,Pakistan,1,1,1,0,0,0%
2021 H2,7/1/21,12/31/21,Peru,2,2,0,1,0,50%
2021 H2,7/1/21,12/31/21,Poland,18,39,7,8,1,50%
2021 H2,7/1/21,12/31/21,Portugal,11,12,1,8,0,73%
2021 H2,7/1/21,12/31/21,Romania,4,5,1,3,0,75%
2021 H2,7/1/21,12/31/21,Russia,43,81,17,22,0,51%
2021 H2,7/1/21,12/31/21,Singapore,40,48,5,28,0,70%
2021 H2,7/1/21,12/31/21,Slovakia,1,1,1,0,0,0%
2021 H2,7/1/21,12/31/21,Slovenia,1,1,0,1,0,100%
2021 H2,7/1/21,12/31/21,South Korea,57,79,0,43,0,75%
2021 H2,7/1/21,12/31/21,Spain,84,113,12,47,0,56%
2021 H2,7/1/21,12/31/21,Sweden,75,90,0,66,0,88%
2021 H2,7/1/21,12/31/21,Switzerland,41,68,16,15,0,37%
2021 H2,7/1/21,12/31/21,Taiwan,421,950,4,380,0,90%
2021 H2,7/1/21,12/31/21,Türkiye,16,16,0,13,0,81%
2021 H2,7/1/21,12/31/21,United Arab Emirates,2,4,1,1,0,50%
2021 H2,7/1/21,12/31/21,United Kingdom,868,1009,17,789,0,91%
2021 H2,7/1/21,12/31/21,United States of America,6646,19589,417,3154,2841,90%
2022 H1,1/1/22,6/30/22,Andorra,5,5,0,3,0,60%
2022 H1,1/1/22,6/30/22,Argentina,5,6,3,1,0,20%
2022 H1,1/1/22,6/30/22,Australia,161,224,26,102,1,64%
2022 H1,1/1/22,6/30/22,Austria,17,18,14,3,0,18%
2022 H1,1/1/22,6/30/22,Bangladesh,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,Belgium,42,55,2,35,0,83%
